method,value,name,dir
stack1D,0.2569444444444444,Interstate 55,Southbound
stack1D,0.2553191489361702,Interstate 55,Northbound
stack1D,0.1073170731707317,Interstate 90,Eastbound
stack1D,0.2679900744416873,Interstate 90,Westbound
stack1D,0.07563025210084033,Interstate 85,Eastbound
stack1D,0.4672131147540984,Interstate 85,Westbound
stack1D,0.09836065573770492,Interstate 57,Southbound
stack1D,0.2459016393442623,Interstate 57,Northbound
stack1D,0.4153846153846154,Interstate 26,Southbound
stack1D,0.21875,Interstate 26,Northbound
stack1D,0.18518518518518517,Interstate 82,Southbound
stack1D,0.25925925925925924,Interstate 82,Northbound
stack1D,0.21518987341772153,Interstate 76 (Ohio-New Jersey),Eastbound
stack1D,0.16049382716049382,Interstate 76 (Ohio-New Jersey),Westbound
stack1D,0.24528301886792453,Interstate 39,Southbound
stack1D,0.5306122448979592,Interstate 39,Northbound
stack1D,0.0,Interstate 86 (Pennsylvania-New York),Eastbound
stack1D,0.023809523809523808,Interstate 86 (Pennsylvania-New York),Westbound
stack1D,0.24489795918367346,Interstate 84 (Oregon-Utah),Eastbound
stack1D,0.2905405405405405,Interstate 84 (Oregon-Utah),Westbound
stack1D,0.64,Interstate 76 (Colorado-Nebraska),Westbound
stack1D,0.32,Interstate 476 (Pennsylvania),Southbound
stack1D,0.4,Interstate 476 (Pennsylvania),Northbound
stack1D,0.1388888888888889,Interstate 43,Southbound
stack1D,0.41935483870967744,Interstate 43,Northbound
stack1D,0.2438423645320197,Interstate 10,Eastbound
stack1D,0.2315035799522673,Interstate 10,Westbound
stack1D,0.2875,Interstate 81,Southbound
stack1D,0.24050632911392406,Interstate 81,Northbound
stack1D,0.25,Interstate 8,Eastbound
stack1D,0.3333333333333333,Interstate 8,Westbound
stack1D,0.3018867924528302,Interstate 95 (Southern Segment),Southbound
stack1D,0.07142857142857142,Interstate 95 (Southern Segment),Northbound
stack1D,0.0782608695652174,Interstate 95 (Northern Segment),Southbound
stack1D,0.2711864406779661,Interstate 95 (Northern Segment),Northbound
stack1D,0.10810810810810811,Interstate 89,Southbound
stack1D,0.32432432432432434,Interstate 89,Northbound
stack1D,0.0,Interstate 68,Eastbound
stack1D,0.045454545454545456,Interstate 68,Westbound
stack1D,0.6216216216216216,Interstate 45,Southbound
stack1D,0.43333333333333335,Interstate 45,Northbound
stack1D,0.10526315789473684,Interstate 30,Eastbound
stack1D,0.35294117647058826,Interstate 30,Westbound
stack1D,0.5159235668789809,Interstate 65,Southbound
