method,value,name,dir
Tower,0.2569444444444444,Interstate 55,Southbound
Tower,0.2553191489361702,Interstate 55,Northbound
Tower,0.1073170731707317,Interstate 90,Eastbound
Tower,0.2679900744416873,Interstate 90,Westbound
Tower,0.07563025210084033,Interstate 85,Eastbound
Tower,0.4672131147540984,Interstate 85,Westbound
Tower,0.09836065573770492,Interstate 57,Southbound
Tower,0.2459016393442623,Interstate 57,Northbound
Tower,0.4153846153846154,Interstate 26,Southbound
Tower,0.21875,Interstate 26,Northbound
Tower,0.18518518518518517,Interstate 82,Southbound
Tower,0.25925925925925924,Interstate 82,Northbound
Tower,0.21518987341772153,Interstate 76 (Ohio-New Jersey),Eastbound
Tower,0.16049382716049382,Interstate 76 (Ohio-New Jersey),Westbound
Tower,0.24528301886792453,Interstate 39,Southbound
Tower,0.5306122448979592,Interstate 39,Northbound
Tower,0.0,Interstate 86 (Pennsylvania-New York),Eastbound
Tower,0.023809523809523808,Interstate 86 (Pennsylvania-New York),Westbound
Tower,0.24489795918367346,Interstate 84 (Oregon-Utah),Eastbound
Tower,0.2905405405405405,Interstate 84 (Oregon-Utah),Westbound
Tower,0.64,Interstate 76 (Colorado-Nebraska),Westbound
Tower,0.32,Interstate 476 (Pennsylvania),Southbound
Tower,0.4,Interstate 476 (Pennsylvania),Northbound
Tower,0.1388888888888889,Interstate 43,Southbound
Tower,0.41935483870967744,Interstate 43,Northbound
Tower,0.2438423645320197,Interstate 10,Eastbound
Tower,0.2315035799522673,Interstate 10,Westbound
Tower,0.2875,Interstate 81,Southbound
Tower,0.24050632911392406,Interstate 81,Northbound
Tower,0.25,Interstate 8,Eastbound
Tower,0.3333333333333333,Interstate 8,Westbound
Tower,0.3018867924528302,Interstate 95 (Southern Segment),Southbound
Tower,0.07142857142857142,Interstate 95 (Southern Segment),Northbound
Tower,0.0782608695652174,Interstate 95 (Northern Segment),Southbound
Tower,0.2711864406779661,Interstate 95 (Northern Segment),Northbound
Tower,0.10810810810810811,Interstate 89,Southbound
Tower,0.32432432432432434,Interstate 89,Northbound
Tower,0.0,Interstate 68,Eastbound
Tower,0.045454545454545456,Interstate 68,Westbound
Tower,0.6216216216216216,Interstate 45,Southbound
Tower,0.43333333333333335,Interstate 45,Northbound
Tower,0.10526315789473684,Interstate 30,Eastbound
Tower,0.35294117647058826,Interstate 30,Westbound
Tower,0.5159235668789809,Interstate 65,Southbound
Tower,0.38461538461538464,Interstate 65,Northbound
Tower,0.9285714285714286,Interstate 37,Northbound
Tower,0.1906158357771261,Interstate 70,Eastbound
Tower,0.11711711711711711,Interstate 70,Westbound
Tower,0.03636363636363636,Interstate 91,Southbound
Tower,0.2545454545454545,Interstate 91,Northbound
Tower,0.14444444444444443,Interstate 25,Southbound
Tower,0.2681564245810056,Interstate 25,Northbound
Tower,0.379746835443038,Interstate 59,Southbound
Tower,0.1875,Interstate 59,Northbound
Tower,0.4051724137931034,Interstate 77,Southbound
Tower,0.34210526315789475,Interstate 77,Northbound
Tower,0.5945945945945946,Interstate 22,Eastbound
Tower,0.2702702702702703,Interstate 22,Westbound
Tower,0.38549618320610685,Interstate 20,Eastbound
Tower,0.2988505747126437,Interstate 20,Westbound
Tower,0.10114942528735632,Interstate 80,Eastbound
Tower,0.15550755939524838,Interstate 80,Westbound
Tower,0.23543123543123542,Interstate 40,Eastbound
Tower,0.22911694510739858,Interstate 40,Westbound
Tower,0.76,Interstate 88 (Illinois),Eastbound
Tower,0.07692307692307693,Interstate 88 (Illinois),Westbound
Tower,0.7916666666666666,Interstate 17,Southbound
Tower,0.5185185185185185,Interstate 17,Northbound
Tower,0.25,Interstate 96,Eastbound
Tower,0.375,Interstate 96,Westbound
Tower,0.13043478260869565,Interstate 27,Northbound
Tower,0.0,Interstate 105 (Oregon),Eastbound
Tower,0.0,Interstate 105 (Oregon),Westbound
Tower,0.26666666666666666,Interstate 335 (Kansas),Eastbound
Tower,0.0,Interstate 335 (Kansas),Westbound
Tower,0.11462450592885376,Interstate 15,Southbound
Tower,0.3231939163498099,Interstate 15,Northbound
Tower,0.4049586776859504,Interstate 5,Southbound
Tower,0.3247863247863248,Interstate 5,Northbound
Tower,0.11538461538461539,Interstate 78,Eastbound
Tower,0.08,Interstate 78,Westbound
Tower,0.25252525252525254,Interstate 44,Eastbound
Tower,0.29591836734693877,Interstate 44,Westbound
Tower,0.35555555555555557,Interstate 29,Southbound
Tower,0.3826086956521739,Interstate 29,Northbound
Tower,0.5342465753424658,Interstate 74,Eastbound
Tower,0.4142857142857143,Interstate 74,Westbound
Tower,0.09090909090909091,Interstate 495 (Massachusetts),Southbound
Tower,0.22727272727272727,Interstate 495 (Massachusetts),Northbound
Tower,0.3111111111111111,Interstate 64,Eastbound
Tower,0.21910112359550563,Interstate 64,Westbound
Tower,0.36363636363636365,Interstate 88 (New York),Eastbound
Tower,0.1991869918699187,Interstate 94,Eastbound
Tower,0.24705882352941178,Interstate 94,Westbound
Tower,0.23529411764705882,Interstate 49 (Lousiana-South Segment,Southbound
Tower,0.6764705882352942,Interstate 49 (Lousiana-South Segment,Northbound
Tower,0.038461538461538464,Interstate 49 (Missouri),Southbound
Tower,0.06451612903225806,Interstate 49 (Missouri),Northbound
Tower,0.515625,Interstate 69,Southbound
Tower,0.2903225806451613,Interstate 69,Northbound
Tower,0.17467248908296942,Interstate 75,Southbound
Tower,0.3588235294117647,Interstate 75,Northbound
Tower,0.24736842105263157,Interstate 35,Southbound
Tower,0.33505154639175255,Interstate 35,Northbound
Tower,0.16666666666666666,Interstate 93,Southbound
Tower,0.42857142857142855,Interstate 93,Northbound
Tower,0.3148148148148148,Interstate 87,Southbound
Tower,0.15625,Interstate 87,Northbound
Tower,0.7419354838709677,Interstate 71,Southbound
Tower,0.6935483870967742,Interstate 71,Northbound
Tower,0.2222222222222222,Interstate 84 (Pennsylvania-Massachusetts),Eastbound
Tower,0.23255813953488372,Interstate 84 (Pennsylvania-Massachusetts),Westbound
Tower,0.6140350877192983,Interstate 24,Eastbound
Tower,0.45614035087719296,Interstate 24,Westbound
Tower,0.5555555555555556,Interstate 16,Eastbound
Tower,0.25925925925925924,Interstate 16,Westbound
Tower,0.08571428571428572,Interstate 72,Eastbound
Tower,0.42857142857142855,Interstate 72,Westbound
Tower,0.11594202898550725,Interstate 79,Southbound
Tower,0.2898550724637681,Interstate 79,Northbound
Tower,0.37037037037037035,Interstate 41,Southbound
Tower,0.5483870967741935,Interstate 41,Northbound
Triangle,0.22916666666666666,Interstate 55,Southbound
Triangle,0.28368794326241137,Interstate 55,Northbound
Triangle,0.1926829268292683,Interstate 90,Eastbound
Triangle,0.22332506203473945,Interstate 90,Westbound
Triangle,0.17647058823529413,Interstate 85,Eastbound
Triangle,0.32786885245901637,Interstate 85,Westbound
Triangle,0.11475409836065574,Interstate 57,Southbound
Triangle,0.11475409836065574,Interstate 57,Northbound
Triangle,0.16923076923076924,Interstate 26,Southbound
Triangle,0.328125,Interstate 26,Northbound
Triangle,0.2222222222222222,Interstate 82,Southbound
Triangle,0.25925925925925924,Interstate 82,Northbound
Triangle,0.13924050632911392,Interstate 76 (Ohio-New Jersey),Eastbound
Triangle,0.2839506172839506,Interstate 76 (Ohio-New Jersey),Westbound
Triangle,0.24528301886792453,Interstate 39,Southbound
Triangle,0.2653061224489796,Interstate 39,Northbound
Triangle,0.07142857142857142,Interstate 86 (Pennsylvania-New York),Eastbound
Triangle,0.21428571428571427,Interstate 86 (Pennsylvania-New York),Westbound
Triangle,0.3945578231292517,Interstate 84 (Oregon-Utah),Eastbound
Triangle,0.3581081081081081,Interstate 84 (Oregon-Utah),Westbound
Triangle,0.6,Interstate 76 (Colorado-Nebraska),Westbound
Triangle,0.28,Interstate 476 (Pennsylvania),Southbound
Triangle,0.24,Interstate 476 (Pennsylvania),Northbound
Triangle,0.1111111111111111,Interstate 43,Southbound
Triangle,0.22580645161290322,Interstate 43,Northbound
Triangle,0.22413793103448276,Interstate 10,Eastbound
Triangle,0.2100238663484487,Interstate 10,Westbound
Triangle,0.25625,Interstate 81,Southbound
Triangle,0.31645569620253167,Interstate 81,Northbound
Triangle,0.4423076923076923,Interstate 8,Eastbound
Triangle,0.27450980392156865,Interstate 8,Westbound
Triangle,0.25,Interstate 95 (Southern Segment),Southbound
Triangle,0.19523809523809524,Interstate 95 (Southern Segment),Northbound
Triangle,0.1826086956521739,Interstate 95 (Northern Segment),Southbound
Triangle,0.2627118644067797,Interstate 95 (Northern Segment),Northbound
Triangle,0.10810810810810811,Interstate 89,Southbound
Triangle,0.21621621621621623,Interstate 89,Northbound
Triangle,0.09090909090909091,Interstate 68,Eastbound
Triangle,0.5454545454545454,Interstate 68,Westbound
Triangle,0.4864864864864865,Interstate 45,Southbound
Triangle,0.3333333333333333,Interstate 45,Northbound
